user_input,response,reference,retrieved_contexts,response_normal,response_no_exec,response_no_severity
"""TC-001: Testing that BIM  Resources' elements are  working""",P1,P1,"['This test checks if the BIM Resources button functions properly on the Commercial Product Sizing page. The goal is to ensure that the button redirects to the correct BIM Resources page and is accessible.\nGiven Go to ""rheem"" website\n When click on the products button\n And click on commercial button\nAnd click on the Project Sizing button\nWhen click on the ""BIM Resources"" button\nThen should be redirected to the ""BIM Resources page"" page\nUser should be redirected to the\n “BIM Resources page” upon clicking\n the BIM Resources button.']",P1,P1,P1
TC-002: Checking valid  Submission Validation  with Pool And Spa,P1,P1,"['This test validates the successful submission of the Pool and Spa contact form with valid input data. The objective is to confirm that the form functions as expected and captures user input correctly.\nGiven go to the ""rheem"" Page\nAnd click on the Contact button\nAnd click on the Pool And Spa button\nAnd type the Full Name ""<full Name>"" on First\nAnd type the Address LineFirst ""<address Line1>"" on Address first Line box\nAnd type the Address Address secondLine ""<address Line2>"" on Address second line box\nAnd type the city ""<city>"" city box\nAnd User select the ""<states Province>"" on States Provinces Type dropdown\nAnd User selects ""<country>"" from the Country dropdown\nAnd type the postalCode ""<zipcode>"" on postalCode box\nAnd type the Company Name ""<company Name>"" on Company box\nAnd type the Phone ""<cell>"" on Phone box\nAnd type Email ""<email>"" on Email box\nAnd User selects ""<subtopic>"" from the Select Subtopic dropdown\nAnd type the Model Number ""<model Number>"" on Model Number box\nAnd type the Serial Number""<serial Number>"" on Serial Number box\nAnd type the Plumber Name ""<plumber Name>"" on Plumber Name box\nAnd type the Plumber phone ""<plumber Phone>"" on Plumber phone box\nAnd type the Comments ""<comments>"" on Comments box\nThen Click the Submit Button Pool And Spa\nThe user should be able to fill out all required fields with valid data and successfully submit the form. A confirmation or success message should appear, or the user should be redirected to a confirmation page (depending on the application’s design).']",P1,P1,P1
TC-003: Heating and  Cooling Page - Residential : Text contains the header,P2,P2,"['This test verifies that the header text on the Heating and Cooling Residential page contains the correct content. The objective is to ensure that the header accurately represents the page content and provides a clear understanding of what the user is about to see.\nGiven go to the ""rheem"" Page\nAnd click the products\nAnd click the residential\nAnd click the heating and cooling button\nThen check text contains the header\nThe page should display the correct header text ( “Rheem Residential Heating and Cooling Products.”), confirming successful navigation.']",P2,P2,P3
TC-004: Broken Image Test,P2,P2,['This test verifies that there are no broken images on the Warranties Form page. The objective is to ensure that all images are loading properly and contribute to a positive user experience.\nGo to rheem.com\nClick on the Products button \nClick on the Commercial button\nClick on the Project Sizing button\nVerify all images on the page are valid (no broken links or missing images)\nAll images on the Product Sizing page should load correctly without any broken or missing images'],P1,P1,P3
TC-005 : Navigate to the Commercial Product Sizing Page on the Rheem Website,P2,P2 ,"['This test ensures there are no broken images on the Commercial Product Sizing page. The purpose is to validate that all images on this page load correctly and are visually appealing to users.\nGiven Go to ""rheem"" website\n When click on the products button \nAnd click on commercial button\nAnd click on the Project  Sizing button\n Then should be clicked\nThe user is successfully directed to the Commercial Product Sizing page. The click action on the “Product Sizing” link should be functional and responsive.']",P2,P2,P2
TC006: Verifying Privacy Policy Link,P3,P1,"['This test verifies if the Privacy Policy link in the footer correctly opens the Privacy Notice page. The objective is to ensure that users can access the privacy policy and the page loads with the correct information.\nGiven I am on the Rheem homepage When I scroll to the footer of the page\n And I click on the ""Privacy Policy"" link\nThen the Privacy Notice page should open\nAnd I verify the URL of the opened page\nAnd I verify the presence of the ""Privacy Notice"" heading and ""Rheem Manufacturing Company Privacy Notice"" subheading\nThe Privacy Notice page opens\nThe URL of the page should be https://www.rheem.com/legal/\nThe page should display the heading ""Privacy Notice"" and the subheading ""Rheem Manufacturing Company Privacy Notice""']",P3,P3,P2
TC-007:Verify Page URL,P3,P3,"['This test verifies if the user is redirected to the correct page URL when navigating through the website. The purpose is to ensure that the correct page is loaded when selecting a certain product category. The steps involve visiting the main page, navigating through different menu items, and checking the final URL.\nGiven go to the ""rheem"" com\nAnd click the products button\nAnd click the commercial button\nAnd click the heating and cooling button on list\nThen check the current url is equals to ""https://www.rheem.com/products/commercial/heating-and-cooling/""\nURL should be\n ""https://www.rheem.com/\nproducts/commercial/heating-and-\ncooling/""']",P3,P3,P2
TC-008:Validate Image Links,P1,P3,"['This test checks if all images on the specified page have valid links and are displayed correctly. The purpose is to ensure that visual elements like images are properly loaded and functioning, improving user experience. The test involves inspecting all images on the page and validating their links.\nGiven Go to the ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen All images links are controlled with size Water Heating Commercial page\nAll images should have valid links and correct sizes']",P3,P3,P3
TC-009:Verify Tankless Heater Link,P2,P1,"['This test ensures that the ""commercial tankless water heaters"" link, highlighted in red text, is visible and functional. The link should correctly redirect the user to the intended page. The steps involve checking the visibility of the link and verifying that the red text matches the design specifications.\nGiven Go to the ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen check the visibility of the connection and that it goes to the correct address\nLink should be visible and redirect correctly']",P2,P2,P2
TC-010:Verify Page Navigation,P1,P1,"['This test ensures that the user is redirected to the correct ""water heating"" page after clicking the appropriate navigation buttons. The purpose is to verify that the page navigation works seamlessly and users can access the desired content.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nThen should be redirected to the water heating page\nUser should be redirected to Water Heating Page']",P1,P1,P2
